SaleID,SaleDate,Quantity,EmployeeID,DeliveryID,DonutID
1,2020-10-08,2,10,,6
2,2020-10-01,7,12,3,2
3,2020-10-11,6,18,2,10
4,2020-10-01,4,8,,4
5,2020-10-28,8,8,1,7
6,2020-10-25,5,21,,6
7,2020-10-07,4,6,,9
8,2020-10-22,1,22,1,5
9,2020-10-12,1,2,,9
10,2020-10-02,6,7,,7
11,2020-10-12,8,23,,6
12,2020-10-22,4,21,1,7
13,2020-10-18,3,24,2,9
14,2020-10-07,7,8,2,6
15,2020-10-16,4,18,,11
16,2020-10-20,3,3,2,7
17,2020-10-12,7,9,3,5
18,2020-10-16,1,20,,10
19,2020-10-16,4,25,,5
20,2020-10-05,3,16,2,12
21,2020-10-30,6,4,,7
22,2020-10-03,2,10,,4
23,2020-10-16,2,11,,8
24,2020-10-21,3,6,2,6
25,2020-10-29,2,11,,1
26,2020-10-12,8,16,,6
27,2020-10-01,1,22,,2
28,2020-10-07,8,4,,5
29,2020-10-04,3,24,2,3
30,2020-10-16,8,13,,10
31,2020-10-24,3,11,,3
32,2020-10-31,1,25,,3
33,2020-10-21,5,12,1,11
34,2020-10-27,5,15,1,2
35,2020-10-18,2,7,,12
36,2020-10-09,4,11,2,1
37,2020-10-09,7,5,,7
38,2020-10-21,1,4,,7
39,2020-10-03,1,25,,2
40,2020-10-08,6,11,,9
41,2020-10-18,1,6,3,8
42,2020-10-19,1,10,,5
43,2020-10-08,4,10,1,4
44,2020-10-04,1,15,,8
45,2020-10-12,1,7,,2
46,2020-10-29,6,13,,4
47,2020-10-18,7,19,2,4
48,2020-10-03,8,19,,11
49,2020-10-05,6,13,,8
50,2020-10-31,2,23,,1
51,2020-10-12,3,7,,3
52,2020-10-29,5,11,,2
53,2020-10-11,6,4,,8
54,2020-10-05,2,6,,9
55,2020-10-07,7,22,,3
56,2020-10-23,3,2,,10
57,2020-10-12,8,12,,11
58,2020-10-27,1,5,,9
59,2020-10-31,1,6,,8
60,2020-10-17,7,3,,11
61,2020-10-06,8,8,1,8
62,2020-10-03,7,11,,9
63,2020-10-03,1,12,,6
64,2020-10-29,7,20,1,7
65,2020-10-19,3,5,,4
66,2020-10-20,1,15,,2
67,2020-10-09,1,9,,7
68,2020-10-17,4,1,1,7
69,2020-10-26,2,17,,7
70,2020-10-09,1,15,,11
71,2020-10-03,3,7,,1
72,2020-10-06,8,21,,10
73,2020-10-02,3,19,,6
74,2020-10-27,6,11,,5
75,2020-10-23,6,6,,1
76,2020-10-20,5,12,,6
77,2020-10-26,1,24,,5
78,2020-10-27,5,9,1,5
79,2020-10-10,4,23,,5
80,2020-10-29,5,25,,7
81,2020-10-30,8,23,,10
82,2020-10-04,1,10,,10
83,2020-10-12,1,5,,9
84,2020-10-28,4,14,,8
85,2020-10-09,2,23,3,6
86,2020-10-23,4,12,,11
87,2020-10-31,8,2,,7
88,2020-10-25,8,9,,10
89,2020-10-30,5,1,,4
90,2020-10-11,4,25,1,1
91,2020-10-20,2,14,2,8
92,2020-10-10,4,3,2,3
93,2020-10-21,4,17,,5
94,2020-10-24,8,18,3,12
95,2020-10-26,3,2,1,1
96,2020-10-27,2,3,2,5
97,2020-10-18,6,25,,7
98,2020-10-28,8,25,,7
99,2020-10-31,1,7,,7
100,2020-10-23,1,17,,10
101,2020-10-26,6,6,1,4
102,2020-10-11,3,6,,8
103,2020-10-12,1,1,,9
104,2020-10-10,5,23,1,3
105,2020-10-09,6,16,,2
106,2020-10-08,4,3,1,9
107,2020-10-02,1,1,,2
108,2020-10-31,1,2,,12
109,2020-10-28,7,2,2,5
110,2020-10-05,4,5,,9
111,2020-10-28,1,8,2,12
112,2020-10-01,8,4,,2
113,2020-10-16,2,13,,1
114,2020-10-15,6,2,2,11
115,2020-10-30,6,19,,3
116,2020-10-14,7,2,3,8
117,2020-10-09,6,3,,5
118,2020-10-05,3,14,1,5
119,2020-10-20,5,1,2,4
120,2020-10-08,3,11,3,11
121,2020-10-22,5,12,,6
122,2020-10-30,4,21,,3
123,2020-10-26,3,3,3,11
124,2020-10-10,4,20,1,7
125,2020-10-28,8,4,3,1
126,2020-10-25,1,14,,4
127,2020-10-09,1,10,2,3
128,2020-10-09,4,13,2,2
129,2020-10-04,6,1,3,10
130,2020-10-20,7,25,,11
131,2020-10-12,1,11,,12
132,2020-10-28,8,5,,10
133,2020-10-08,6,6,1,5
134,2020-10-10,4,12,1,11
135,2020-10-05,2,1,2,2
136,2020-10-13,5,3,,4
137,2020-10-22,7,23,1,4
138,2020-10-29,3,15,1,9
139,2020-10-29,7,2,,3
140,2020-10-15,5,14,,2
141,2020-10-24,2,21,2,11
142,2020-10-25,1,18,,12
143,2020-10-15,1,12,,5
144,2020-10-22,7,14,,4
145,2020-10-05,8,9,,8
146,2020-10-28,5,15,2,6
147,2020-10-29,7,10,2,1
148,2020-10-04,1,2,,1
149,2020-10-24,3,21,,8
150,2020-10-18,3,20,,12
151,2020-10-18,1,15,,12
152,2020-10-04,2,18,,7
153,2020-10-15,8,15,2,6
154,2020-10-17,3,17,3,7
155,2020-10-22,7,12,2,11
156,2020-10-13,5,11,1,8
157,2020-10-23,2,12,3,7
158,2020-10-26,5,15,,11
159,2020-10-24,4,6,3,1
160,2020-10-09,3,5,,8
161,2020-10-09,1,12,,8
162,2020-10-09,1,2,,11
163,2020-10-11,4,2,,6
164,2020-10-25,7,14,,1
165,2020-10-20,2,25,,3
166,2020-10-11,1,12,3,6
167,2020-10-03,7,25,2,5
168,2020-10-12,5,6,2,9
169,2020-10-27,4,2,2,4
170,2020-10-23,1,23,,1
171,2020-10-04,8,5,,12
172,2020-10-10,8,11,1,7
173,2020-10-27,7,14,,7
174,2020-10-21,8,13,2,11
175,2020-10-06,3,8,,7
176,2020-10-06,6,15,,11
177,2020-10-04,3,18,3,12
178,2020-10-17,3,18,,12
179,2020-10-23,6,18,,3
180,2020-10-28,3,25,,3
181,2020-10-02,2,4,3,4
182,2020-10-24,6,2,3,3
183,2020-10-18,3,15,,9
184,2020-10-02,4,16,3,11
185,2020-10-04,7,14,1,7
186,2020-10-14,7,25,3,12
187,2020-10-21,5,12,2,8
188,2020-10-29,5,8,,1
189,2020-10-31,4,13,3,11
190,2020-10-09,1,15,2,10
191,2020-10-06,1,23,3,8
192,2020-10-22,3,11,,11
193,2020-10-07,3,4,3,7
194,2020-10-07,7,14,,9
195,2020-10-19,6,14,2,3
196,2020-10-30,1,9,2,5
197,2020-10-03,5,8,,10
198,2020-10-06,1,14,,4
199,2020-10-13,6,15,3,4
200,2020-10-26,5,9,1,1
201,2020-10-14,5,3,,10
202,2020-10-17,1,1,,12
203,2020-10-27,7,3,3,6
204,2020-10-06,8,14,,2
205,2020-10-03,7,18,3,2
206,2020-10-24,1,25,3,5
207,2020-10-11,3,20,2,11
208,2020-10-20,8,16,,2
209,2020-10-29,5,3,,12
210,2020-10-27,6,19,1,7
211,2020-10-05,6,10,1,9
212,2020-10-09,8,7,1,10
213,2020-10-15,8,17,,10
214,2020-10-21,6,1,2,1
215,2020-10-15,4,15,,1
216,2020-10-03,8,9,,10
217,2020-10-04,1,5,,8
218,2020-10-26,4,24,3,4
219,2020-10-01,7,21,,2
220,2020-10-14,3,10,,10
221,2020-10-24,6,22,,6
222,2020-10-27,7,13,,12
223,2020-10-14,7,17,,5
224,2020-10-10,4,18,1,3
225,2020-10-29,2,7,,2
226,2020-10-17,7,21,,7
227,2020-10-01,1,9,,3
228,2020-10-29,3,17,2,9
229,2020-10-15,8,23,1,8
230,2020-10-23,1,4,,5
231,2020-10-07,8,4,,7
232,2020-10-21,2,14,3,9
233,2020-10-17,2,5,,10
234,2020-10-01,1,12,,6
235,2020-10-09,2,13,,8
236,2020-10-30,4,2,3,11
237,2020-10-13,8,9,,6
238,2020-10-01,2,18,3,7
239,2020-10-21,7,18,3,9
240,2020-10-15,5,13,,9
241,2020-10-29,1,24,3,8
242,2020-10-02,6,12,,7
243,2020-10-21,1,22,2,1
244,2020-10-16,3,1,,4
245,2020-10-27,2,9,,2
246,2020-10-04,1,23,,11
247,2020-10-21,8,10,3,7
248,2020-10-04,5,15,,2
249,2020-10-23,7,6,3,6
250,2020-10-01,3,19,,7
251,2020-10-22,4,25,,8
252,2020-10-02,6,19,3,5
253,2020-10-27,3,9,,7
254,2020-10-14,4,16,3,9
255,2020-10-13,1,8,,1
256,2020-10-06,2,23,,3
257,2020-10-09,8,10,,12
258,2020-10-31,5,10,,5
259,2020-10-06,3,16,,4
260,2020-10-24,8,1,,12
261,2020-10-24,5,13,,4
262,2020-10-03,8,10,,12
263,2020-10-21,1,3,,9
264,2020-10-26,4,2,,10
265,2020-10-09,8,24,,1
266,2020-10-22,1,15,,7
267,2020-10-11,1,9,,6
268,2020-10-29,1,15,,11
269,2020-10-12,8,3,2,6
270,2020-10-06,8,24,1,3
271,2020-10-26,6,19,2,6
272,2020-10-30,3,1,1,7
273,2020-10-15,5,12,,3
274,2020-10-07,4,12,,11
275,2020-10-27,4,11,,5
276,2020-10-07,4,16,,1
277,2020-10-11,1,16,2,4
278,2020-10-27,2,22,,1
279,2020-10-23,1,12,,9
280,2020-10-30,5,17,,7
281,2020-10-22,7,11,3,8
282,2020-10-10,5,7,,5
283,2020-10-18,1,9,,3
284,2020-10-04,5,12,3,7
285,2020-10-24,2,23,1,1
286,2020-10-13,6,23,,12
287,2020-10-03,7,17,,12
288,2020-10-05,6,18,,1
289,2020-10-09,1,17,,1
290,2020-10-16,3,6,,2
291,2020-10-22,8,23,1,9
292,2020-10-12,6,24,,4
293,2020-10-09,5,4,,11
294,2020-10-23,7,6,3,12
295,2020-10-15,1,24,2,8
296,2020-10-02,8,12,,10
297,2020-10-26,3,8,,2
298,2020-10-02,6,1,2,5
299,2020-10-15,4,18,,9
300,2020-10-03,6,22,1,3
301,2020-10-10,1,25,,12
302,2020-10-28,3,21,,7
303,2020-10-25,4,17,,1
304,2020-10-08,3,10,,2
305,2020-10-29,8,2,,1
306,2020-10-07,7,4,,12
307,2020-10-23,4,4,,1
308,2020-10-04,6,19,,11
309,2020-10-16,3,9,3,12
310,2020-10-29,2,23,3,12
311,2020-10-29,4,4,1,6
312,2020-10-10,6,14,,12
313,2020-10-08,5,25,3,5
314,2020-10-14,5,10,2,7
315,2020-10-14,1,4,,6
316,2020-10-13,3,16,1,4
317,2020-10-07,6,5,,10
318,2020-10-17,1,6,,7
319,2020-10-29,3,11,,3
320,2020-10-04,5,9,,12
321,2020-10-12,6,14,1,7
322,2020-10-17,5,8,,7
